genre,subgenre
和食,和食店、和食レストラン、日本料理・割烹・懐石、日本料理、割烹、懐石お好み焼き、沖縄料理、おでん、懐石・会席料理、割烹・小料理、精進料理、京料理、豆腐料理・湯葉料理、麦とろ、釜飯、もつ料理、くじら料理、牛タン、ろばた焼き、和食（その他）、郷土料理（その他）、お好み焼き、もんじゃ焼き、たこ焼き、明石焼き、お好み焼き・たこ焼き（その他）、天ぷら、とんかつ、串揚げ・串かつ、からあげ、天ぷら・揚げ物
焼肉,焼肉、ホルモン、ジンギスカン、バーベキュー
丼物,牛丼、親子丼、天丼・天重、かつ丼・かつ重、海鮮丼、豚丼、丼もの（その他）
鍋料理,しゃぶしゃぶ、すき焼き、水炊き、火鍋、もつ鍋、ちゃんこ鍋、うどんすき、ちりとり鍋・てっちゃん鍋、中国鍋・火鍋、韓国鍋、タイスキ、鍋（その他）、豚しゃぶ
ラーメン/つけ麺/油そば,ラーメン、汁なしラーメン、油そば、つけ麺、油そば
そば/うどん,そば、立ち食いそば、うどん、カレーうどん、焼きそば、沖縄そば、ほうとう、ちゃんぽん、そば・うどん・麺類（その他）、そば・うどん・天ぷら
海鮮/寿司,回転寿司、うなぎ、ふぐ、かき 立ち食い寿司、魚介料理・海鮮料理、どじょう、あなご、シーフード、オイスターバー、寿司、かに
居酒屋,居酒屋、飲み屋、居酒屋・ダイニングバー（その他）
焼き鳥,焼鳥、串焼き、もつ焼き、焼きとん、鳥料理、手羽先
イタリアン,イタリアン、パスタ、ピザ
フレンチ,フレンチ、ビストロ、モダンフレンチ
スペイン料理,スペイン料理、モダンスパニッシュ
洋食・西洋料理,洋食屋、ステーキ、ハンバーグ、オイスターバー、ハヤシライス、オムライス、シチュー、スープ、コロッケ・フライ、洋食・欧風料理（その他）、メキシコ料理、ハンバーガー、洋食
西洋(その他),地中海料理、ドイツ料理、ロシア料理、アメリカ料理、カリフォルニア料理、オセアニア料理、ハワイ料理、西洋各国料理（その他）、トルコ
カレー,スープカレー 、欧風カレー、インドカレー、タイカレー、スープカレ、カレー（その他）、スープカレー、カレーライス
中華料理,餃子、中華料理、飲茶・点心、北京料理、上海料理、広東料理、四川料理、台湾料理、餃子、肉まん・中華まん、中華粥、中華麺、担々麺、刀削麺、中華麺（その他）
韓国料理,韓国料理、サムギョプサル、冷麺
タイ料理,タイ料理、タイ
南アジア料理,インド料理、ネパール料理、パキスタン料理、スリランカ料理、南アジア料理（その他）
アジア(その他),ベトナム料理、インドネシア料理、シンガポール料理、東南アジア料理（その他）
バー,バー、バル、ビアホール、ワインバー、パブ、ラウンジ、ワインバー、ビアガーデン、ビアバー、スポーツバー、日本酒バー・焼酎バー、バー・お酒（その他）、バル・バール、居酒屋・ダイニングバー（その他）、ダイニングバー
カフェ/スイーツ,カフェ、喫茶店、スイーツ、デザート、コーヒー専門店、紅茶専門店、中国茶専門店、日本茶専門店、カフェ・喫茶（その他）、ケーキ、チョコレート、マカロン、バームクーヘン、洋菓子（その他）和菓子、甘味処、たい焼き・大判焼き、どら焼き、大福、せんべいアイスクリーム、ソフトクリーム、かき氷、クレープ、パフェ、フルーツパーラー、ジュースバー、パンケーキ、ドーナツ、フレンチトースト、アサイーボウル、スイーツ（その他）、中華菓子、和菓子
